dataset_id,name,domain,platform,environment,modalities,access,license_spdx,commercial_use,url,link_check_status,last_checked,notes_short,tags
geode-dataset-metro-tunnels-tunneling-etc,GEODE dataset (Metro_Tunnels_Tunneling etc.),underground,ugv,degenerate_slam_scenarios,lidar_vlp16;lidar_os1_64;lidar_livox_avia;stereo_cameras;imu_xsens;rosbag;calibration;ground_truth,open,Unknown,unknown,https://github.com/PengYu-Team/GEODE_dataset,OK_GITHUB;DATA_LINK_EXTERNAL,2026-02-02,GEODE: multi-LiDAR (VLP-16 / OS1-64 / Livox AVIA) + stereo cameras + Xsens IMU; data provided as ROS1 bags via Google Drive / Baidu.,lidar_slam;degenerate;rosbag;stereo;imu;ground_truth
mars-2020-perseverance-mastcam-z-navcam-hazcam-bundles,Mars 2020 Perseverance (Mastcam-Z/Navcam/Hazcam bundles),planetary_analogue,ugv,mars_surface,mastcamz_images_edr;rdr;multispectral;stereo,open,Unknown,unknown,https://pds.nasa.gov/ds-view/pds/viewBundle.jsp?identifier=urn%3Anasa%3Apds%3Amars2020_mastcamz&version=2.0,OK_UPDATED_URL,2026-02-02,NASA PDS bundle page for Mars 2020 Mastcam-Z (Perseverance): EDR/RDR data products; DOI listed on PDS.,nasa;pds;mars2020;perseverance;mastcamz;images
ballast-water-tank-dataset-ntnu,Ballast Water Tank Dataset (NTNU),marine,multi,ship_ballast_tanks,lidar_os0_64;camera_flir_blackfly;color_and_mono;imu_vn100;radar_iwr6843;rosbag,open,Unknown,unknown,https://github.com/ntnu-arl/ballast_water_tank_dataset,OK_GITHUB;DATA_LINK_EXTERNAL,2026-02-02,"Ballast Water Tank Dataset: collected in ballast tanks (3 vessels) with aerial robot RMF-Owl and handheld 'Mjolnir'; sensors include Ouster OS0-64, FLIR Blackfly S cameras, Vectornav VN100 IMU, TI radar.",industrial;marine;confined_space;ouster;flir;imu;radar;inspection
buried-pipes-dataset-sheffield-orda,Buried pipes dataset (Sheffield ORDA),infrastructure,unknown,buried_pipes,lidar;camera;time_sync,unknown,Unknown,unknown,https://orda.shef.ac.uk/articles/dataset/Feature_Detection_and_Classification_in_Buried_Pipes_using_LiDAR_Dataset_with_Camera-LiDAR_Synchronisation/29988058,NEEDS_MANUAL_CHECK,2026-02-02,ORDA link was blocked by the checker tool (likely anti-bot). Dataset appears to be LiDAR + camera with synchronization for buried pipe inspection; please verify access manually.,pipes;underground;lidar;camera;infrastructure
fusionportablev2,FusionPortableV2,built_environment,multi,mixed_indoor_outdoor,lidar;stereo_rgb;event_camera;imu;gnss_ins;wheel_encoder;joint_encoders;contact;ground_truth_poses;ground_truth_map_pcd;rosbag,open,Unknown,unknown,https://fusionportable.github.io/dataset/fusionportable_v2/,OK_UPDATED_URL,2026-02-02,"FusionPortable V2: multi-sensor dataset (rosbags) + ground-truth maps/poses + calibration; sensors include LiDAR, stereo, event camera, IMU, GNSS/INS and encoders. Data page: /fusionportable_v2_data/ (Google Drive).",multi_sensor;handheld;legged;vehicle;event_camera;lidar;ground_truth;rosbag
ice-lapse-antarctic-benthic-imagery,ICE-LAPSE Antarctic benthic imagery,marine,underwater_observing_system (stationary),underwater (antarctic),rgb,open,CC-BY-4.0,yes,https://zenodo.org/records/7318531,OK,2026-02-02,Time-lapse benthic imagery (stationary underwater observing system).,underwater;benthic;antarctica;time_lapse;stationary
lroc-nac-wac-lunar-reconnaissance-orbiter,LROC NAC/WAC (Lunar Reconnaissance Orbiter),space,orbiter,lunar_orbit,optical_imagery (panchro/color),open,CC0-1.0,yes,https://pds.nasa.gov/ds-view/pds/viewProfile.jsp?dsid=LRO-L-LROC-2-EDR-V1.0,OK_UPDATED_URL,2026-02-02,PDS LROC EDR: NAC (panchro) + WAC (color). Public domain (US).,space;moon;orbiter;optical
min3d-project-riese-wwii-walim,"MIN3D (Project Riese WWII, Walim)",underground,ugv,underground tunnels + campus,rgb;stereo;thermal;lidar;imu;gt_pointcloud,open,CC-BY-NC-SA-4.0,no,https://github.com/3DOM-FBK/MIN3D,OK,2026-02-02,Multi-sensor UGV mapping: monocular/stereo/thermal + 2 LiDAR + 3 IMU; GT pointclouds via survey TLS.,underground;ugv;lidar;thermal;wwii;slam
mine-mapping-dataset-shaft-300m,Mine Mapping Dataset (shaft -300m),underground,handheld mapping rig,mine_shaft (vertical),lidar;imu,open,NOASSERTION,unknown,https://michalpelka.github.io/mine-mapping-dataset/,OK,2026-02-02,Mine shaft mapping rosbags (Velodyne + Livox + IMU). No explicit license found on the dataset pages/repo.,underground;mine_shaft;lidar;imu;rosbag
mineinsight-demining-landmine-detection,MineInsight (demining / landmine detection),demining,ugv (Husky A200 + UR5e),outdoor_offroad,rgb;mono;swir;lwir;lidar,open,CC-BY-NC-SA-4.0,no,https://github.com/mariomlz99/MineInsight,OK,2026-02-02,Demining dataset (Husky A200 + UR5e). Sensors: RGB/mono/VIS-SWIR/LWIR + LiDAR.,demining;ugv;multispectral;lidar;outdoor
morocco2018-madmax-arches,Morocco2018 (MADMAX / ARCHES),planetary_analogue,rover_navigation dataset,mars_analogue desert (Morocco),stereo_mono;rgb;omni;imu;dgnss_gt,registration (academic),LicenseRef-academic-only,no,https://datasets.arches-projekt.de/morocco2018/,OK,2026-02-02,MADMAX: Mars-analogue navigation experiments. Free for academic use; registration required; full rosbags on request.,mars_analogue;visual_inertial;stereo;omni;imu;gnss_gt
nebula-odometry-dataset,NeBula Odometry Dataset,underground,"multi-robot (DARPA SubT, CoSTAR)",caves/tunnels/industrial plants,lidar;imu,open,MIT,yes,https://github.com/NeBula-Autonomy/nebula-odometry-dataset,OK,2026-02-02,Extreme underground odometry/SLAM datasets used by Team CoSTAR (DARPA SubT).,underground;darpa_subt;slam;lidar_odometry
osiris-rex-bennu-ocams-ola,OSIRIS-REx Bennu (OCAMS + OLA),space,spacecraft (asteroid mission),asteroid (Bennu) proximity,optical;lidar_altimetry,open,CC0-1.0,yes,https://pds-smallbodies.astro.umd.edu/data_sb/missions/orex/index.shtml,OK_UPDATED_URL,2026-02-02,PDS SBN mission page aggregating OCAMS (images) + OLA (laser altimeter) bundles. Public domain (US).,space;asteroid;bennu;ocams;ola;pds
oxford-robotcar-dataset,Oxford RobotCar Dataset,urban_driving,car,"urban (Oxford, UK)",rgb;lidar2d;lidar3d;gps_ins,registration,CC-BY-NC-SA-4.0,no,https://robotcar-dataset.robots.ox.ac.uk/,OK,2026-02-02,Multi-sensor car dataset (Oxford). Non-commercial ShareAlike license.,urban;autonomous_driving;car;oxford;multisensor
oxford-spires-dataset,Oxford Spires Dataset,urban_mapping,handheld/backpack,"urban (Oxford, UK)",lidar;rgb360;imu;gnss,open,CC-BY-NC-SA-4.0,no,https://dynamic.robots.ox.ac.uk/datasets/oxford-spires/,OK,2026-02-02,Handheld/backpack dataset around Oxford ‘dreaming spires’ buildings (Ouster LiDAR + 360 imagery + IMU/GNSS).,urban;handheld;backpack;lidar;360;oxford
robocup-rosbag-dataset-tiago,RoboCup ROSbag dataset (TIAGo),service_robotics,ugv (TIAGo),indoor (RoboCup@Home),rosbag,open,CC-BY-4.0,yes,https://zenodo.org/records/13902513,OK,2026-02-02,Zenodo: ROSbag recordings from RoboCup (TIAGo). Metadata sparse on Zenodo page.,robocup;service_robot;tiago;rosbag
sew-multimodal-amr-dataset-2025,SEW Multimodal AMR dataset 2025,industrial_intralogistics,amr,indoor (industrial/warehouse),rgb;thermal;radar;ultrasonic;tof_pointcloud;laser_range,open,CC-BY-SA-4.0,yes,https://github.com/SEW-Eurodrive-Open-Source/Multimodal_AMR_dataset,OK,2026-02-02,SEW AMR dataset: RGB+thermal + radar/ultrasonic + ToF point clouds + laser scanner ranges. ShareAlike.,amr;industrial;multimodal;warehouse
subt-environment-dataset-ltu-360,SubT environment dataset (LTU) + 360,underground,"multi-robot (DARPA SubT, CoSTAR)",caves/tunnels/industrial plants,lidar;rgb-d;thermal;uwb;imu;360_video,open,CC-BY-4.0,yes,https://zenodo.org/records/6948960,OK,2026-02-02,DARPA SubT env. dataset (CoSTAR/LTU): LiDAR + RealSense RGB-D + thermal + UWB (+ IMU) and 360 video.,subt;underground;lidar;rgbd;thermal;uwb;360
tiers-multi-lidar-dataset-enhanced,TIERS multi-lidar dataset (enhanced),built_environment,handheld mapping rig,indoor/outdoor (GNSS-denied),multi_lidar;rgb;depth;imu;ground_truth;rosbag,open,MIT,yes,https://github.com/TIERS/tiers-lidars-dataset-enhanced,OK_GITHUB;DATA_LINK_EXTERNAL,2026-02-02,Multi-LiDAR dataset repo (MIT). Dataset downloads are linked from the repo (external hosting).,lidar;multilidar;gnss-denied;mapping;rosbag
tartanground-simulation,TartanGround (simulation),general,simulation,simulated outdoor offroad + urban,stereo_rgb;depth;segmentation;optical_flow;lidar;imu;pose_gt,open,CC-BY-4.0,yes,https://tartanair.org/tartanground/,OK,2026-02-02,TartanGround (simulation): stereo RGB + depth/flow/segm + LiDAR + IMU + GT poses.,simulation;offroad;stereo;lidar;depth;opticalflow
uas-competition-rosbags-maze-obstacle,UAS competition rosbags (maze / obstacle),aerial_robotics,uav (simulation+real),"PX4-Gazebo sim + real flights (PURT, Indiana, US)",rosbag;lidar;imu;gps;telemetry;rgb_video,open,CC-BY-NC-4.0,no,https://huggingface.co/datasets/Purdue/UAV-Competition-Dataset/tree/main,OK_UPDATED_URL,2026-02-02,ROSbag dataset for UAV Chase + Maze challenges (sim-to-real). Paper: PMC12410569 (CC BY-NC 4.0).,uav;rosbag;lidar;imu;gps;competition;px4;gazebo
uma-sar-dataset,UMA-SAR dataset,emergency_response,ugv,outdoor urban disaster response,lidar;rgb;thermal;gps;imu;pose_gt,open,NOASSERTION,no,https://www.uma.es/robotics-and-mechatronics/cms/menu/robotica-y-mecatronica/datasets/,OK_UPDATED_URL,2026-02-02,UMA-SAR: logs in simulated disaster environments; site states for research use (property of UMA).,sar;disaster;ugv;lidar;thermal
underground-mining-shaft-survey-multi-lidar-imu,Underground Mining Shaft Survey (multi-LiDAR+IMU),underground,ground_vehicle (mapping rig),mine_shaft (vertical),multi_lidar;imu;ground_truth (laser scans);rosbag,open,NOASSERTION,unknown,https://michalpelka.github.io/mine-mapping-dataset/,OK,2026-02-02,"Mine Mapping Dataset: vertical mine-shaft survey with ROSbags, multi-LiDAR/IMU and reference laser scans.",mine;shaft;lidar;imu;rosbag
wrc-sewer-inspection-image-library,WRC sewer inspection image library,infrastructure,cctv sewer inspection,sewer / underground infrastructure,rgb_images;defect_labels,registration,NOASSERTION,unknown,https://www.wrcgroup.com/headlines/bite-sized-views/new-world-first-for-wrc-with-ofwat-funded-ai-sewer-assessment-tool/,NEEDS_MANUAL_CHECK,2026-02-02,WRC article points to a free-to-download sewer image library hosted on the Spring platform; portal access/terms unclear.,sewer;infrastructure;inspection;defects;images
upo-into-the-smoke-nix,UPO 'Into the smoke' (NIx),emergency_response,ugv (tracked),underground indoor smoke (reduced visibility),rosbag;rgb;lidar;radar;odometry;tf;pose_gt,open,CC-BY-NC-SA-3.0,no,https://robotics.upo.es/datasets/smoke/,OK,2026-02-02,"NIx tracked robot in smoke-filled underground indoor scenario. Sensors: RGB cams + Ouster LiDAR + mmWave RADAR (+ odom/TF, GT).",smoke;low-visibility;radar;lidar;rosbag
flobot-perception-dataset,FLOBOT perception dataset,service_robotics,amr (floor scrubber),airport/warehouse/supermarket (public spaces),rosbag;3d_lidar;2d_lidar;rgb-d;stereo;imu;wheel_encoder;pose_gt;annotations,open,CC-BY-NC-SA-4.0,no,https://lcas.github.io/FLOBOT/,OK,2026-02-02,"FLOBOT floor-scrubber ROSbags: 3D LiDAR + 2x RGB-D + stereo + IMU/encoders, with annotations (pedestrian/dirt/object).",flobot;service_robotics;rosbag;rgbd;lidar;annotations
fieldsafe-tractor-agriculture-dataset,FieldSAFE (tractor agriculture dataset),agriculture,tractor (sensor rig),agriculture field mowing (Denmark),rosbag;stereo_rgb;thermal;webcam;360_camera;lidar;radar;gnss;imu;ground_truth,open,CC-BY-NC-SA-4.0,no,https://theailab.dk/fieldsafe/,OK,2026-02-02,"FieldSAFE ROSbags (tractor): stereo + thermal + 360 + LiDAR + RADAR + GNSS/IMU, with obstacle GT (geo coords).",agriculture;tractor;fieldsafe;rosbag;lidar;radar;thermal;360
hirise-stereo-pairs-mro,HiRISE stereo pairs (MRO),space,orbiter (MRO),mars_orbit,stereo_images;camera_metadata,open,NOASSERTION,unknown,http://hirise-pds.lpl.arizona.edu/PDS/,OK_UPDATED_URL,2026-02-02,HiRISE PDS archive directory (MRO) with downloadable image products (incl. stereo coverage).,hirise;mro;mars;pds;stereo
inspecsafe-v1,InspecSafe-V1,industrial,unknown,industrial inspection (synthetic/unknown),images;annotations,open,MIT,yes,https://huggingface.co/datasets/Tetrabot2026/InspecSafe-V1,OK,2026-02-02,InspecSafe-V1 on Hugging Face (MIT).,inspection;safety;dataset;hf
m2dgr-dataset,M2DGR dataset,industrial,unknown,building_indoor,lidar;imu,open,MIT,yes,https://github.com/SJTU-ViSYS/M2DGR,OK,2026-02-02,Moins 'infréquentable' mais très riche,divers;indoor_outdoor
underwater-caves-dataset-udg-cirs,Underwater caves dataset (UdG/CIRS),marine,auv,cave;marine_underwater,sonar;camera;imu;dvl;depth;odometry,open,NOASSERTION,unknown,https://cirs.udg.edu/caves-dataset/,OK,2026-02-02,AUV en grottes sous-marines (2013) : 2 sonars MSIS + DVL + 2 IMU + capteur de profondeur + caméra verticale; rosbags + exports texte sur Zenodo.,marine;underwater_caves;auv;rosbag
c3vd-colonoscopy-3d-video-dataset,C3VD (Colonoscopy 3D Video Dataset),medical,endoscope,medical,rgb;depth;normals;optical_flow;pose_gt;mesh,open,CC-BY-4.0,yes,https://durrlab.github.io/C3VD/,OK_UPDATED_URL,2026-02-02,Vidéos de colonoscopie + vérités terrain par frame (depth/normals/flow/occlusion/pose/mesh). La page C3VDv2 indique une licence CC BY 4.0 couvrant le site/dataset.,medical;endoscopy;depth_gt;pose_gt
endoslam-dataset,EndoSLAM Dataset,medical,unknown,medical,rgb;pose_gt,unknown,CC-BY-4.0,yes,https://data.mendeley.com/datasets/cd2rtzm23r/1,OK,2026-02-02,Monde non rigide,ground_truth;medical;endoscopie_capsule
hamlyn-rectified-dataset,Hamlyn Rectified Dataset,medical,unknown,medical,rgb;depth,open,GPL-3.0-or-later,yes,https://huggingface.co/datasets/Recasens/HamlynRectifiedDataset,OK,2026-02-02,Licence GPL sur HF (selon discussion),medical;endoscopie
kvasir-capsule,Kvasir-Capsule,medical,capsule_endoscope,medical,rgb,open,NOASSERTION,restricted,https://github.com/simula/kvasir-capsule,OK,2026-02-02,"Dataset images capsule endoscopique. Les Terms of Use indiquent un usage gratuit pour recherche/éducation, mais usage commercial uniquement sur demande (permission).",medical;capsule_endoscopy;classification
stereomis-da-vinci-xi,StereoMIS (da Vinci Xi),medical,surgical_robot,medical,stereo_rgb;poses;segmentation?;calibration,open,CC-BY-NC-SA-4.0,no,https://zenodo.org/records/7727692,OK,2026-02-02,Dataset chirurgie robotisée (da Vinci Xi) sur Zenodo — licence CC BY-NC-SA 4.0.,medical;surgical_robotics;stereo
ntnu-underwater-multi-camera-visual-inertial-dataset,NTNU Underwater multi-camera visual-inertial dataset,marine,rov,indoor_test_tank;pipeline,multi_camera;imu,open,BSD-3-Clause,yes,https://github.com/ntnu-arl/underwater-datasets,OK,2026-02-02,Dataset visuel-inertiel multi-caméras en milieu sous-marin (NTNU ARL) — repo GitHub (BSD-3-Clause).,marine;underwater;multi_camera;vio
